client_id,engagement_date,sector,referral_source,adviser,current_stage,placed_date,days_on_programme
CL0312,24/05/2024,Hospitality,Jobcentre Plus,Adviser D,Sustained (13 weeks),08/10/2024,822
CL0313,11/09/2024,Health & Social Care,Partner organisation,Adviser C,Action Plan Agreed,,712
CL0314,12/06/2024,Education,Re-referral,Adviser D,Job Ready,,803
CL0315,11/11/2024,Education,Jobcentre Plus,Adviser D,Placed,10/02/2025,651
CL0316,08/08/2024,Admin & Office,Jobcentre Plus,Adviser C,Job Ready,,746
CL0317,26/04/2025,Warehousing & Logistics,Self-referral,Adviser A,Job Ready,,485
CL0318,27/09/2024,Admin & Office,Partner organisation,Adviser C,Engaged,,696
CL0319,22/02/2024,Construction,Jobcentre Plus,Adviser C,Engaged,,914
CL0320,31/05/2025,Education,Partner organisation,Adviser C,Sustained (13 weeks),06/12/2025,450
CL0321,01/05/2024,Health & Social Care,Re-referral,Adviser D,In Training,,845
CL0322,13/12/2024,Admin & Office,Partner organisation,Adviser B,Placed,24/04/2025,619
CL0323,27/05/2025,Retail,Jobcentre Plus,Adviser B,Placed,25/10/2025,454
CL0324,15/06/2025,Education,Jobcentre Plus,Adviser B,In Training,,435
CL0325,22/11/2024,Health & Social Care,Jobcentre Plus,Adviser C,Placed,30/04/2025,640
CL0326,05/06/2025,Education,Partner organisation,Adviser C,Job Ready,,445
CL0327,18/01/2024,Admin & Office,Jobcentre Plus,Adviser A,Sustained (26 weeks),15/07/2024,949
CL0328,11/11/2024,Retail,Self-referral,Adviser C,Sustained (26 weeks),08/05/2025,651
CL0329,21/08/2024,Retail,Self-referral,Adviser B,Placed,25/02/2025,733
CL0330,24/01/2025,Health & Social Care,Partner organisation,Adviser B,Engaged,,577
CL0331,22/04/2024,Construction,Jobcentre Plus,Adviser C,Job Ready,,854
CL0332,26/02/2025,Construction,Jobcentre Plus,Adviser D,Sustained (13 weeks),12/04/2025,544
CL0333,21/05/2024,Construction,Self-referral,Adviser D,Placed,08/09/2024,825
CL0334,26/06/2024,Education,Re-referral,Adviser C,Placed,06/01/2025,789
CL0335,27/09/2024,Education,Jobcentre Plus,Adviser B,In Training,,696
CL0336,01/11/2024,Construction,Re-referral,Adviser C,Sustained (13 weeks),23/01/2025,661
CL0337,15/05/2025,Admin & Office,Self-referral,Adviser C,In Training,,466
CL0338,23/01/2025,Customer Service,Partner organisation,Adviser B,In Training,,578
CL0339,21/10/2024,Hospitality,Jobcentre Plus,Adviser D,Placed,22/03/2025,672
CL0340,07/08/2024,Construction,Partner organisation,Adviser C,Sustained (26 weeks),14/11/2024,747
CL0341,20/05/2024,Hospitality,Self-referral,Adviser B,Action Plan Agreed,,826
CL0342,19/08/2024,Construction,Jobcentre Plus,Adviser D,In Training,,735
CL0343,28/04/2025,Hospitality,Partner organisation,Adviser B,Engaged,,483
CL0344,10/06/2024,Customer Service,Partner organisation,Adviser D,Job Ready,,805
CL0345,23/07/2024,Warehousing & Logistics,Jobcentre Plus,Adviser A,Sustained (26 weeks),13/09/2024,762
CL0346,25/08/2024,Retail,Re-referral,Adviser B,Job Ready,,729
CL0347,29/06/2024,Retail,Re-referral,Adviser D,Sustained (13 weeks),14/09/2024,786
CL0348,23/10/2024,Retail,Jobcentre Plus,Adviser A,Sustained (26 weeks),15/02/2025,670
CL0349,18/10/2024,Education,Re-referral,Adviser D,Sustained (13 weeks),21/12/2024,675
CL0350,31/05/2025,Education,Jobcentre Plus,Adviser A,In Training,,450
CL0351,14/04/2025,Warehousing & Logistics,Partner organisation,Adviser A,Placed,28/07/2025,497
CL0352,16/07/2024,Health & Social Care,Self-referral,Adviser D,Sustained (13 weeks),24/12/2024,769
CL0353,01/12/2024,Hospitality,Jobcentre Plus,Adviser A,Action Plan Agreed,,631
CL0354,23/05/2024,Education,Jobcentre Plus,Adviser B,Engaged,,823
CL0355,27/01/2025,Construction,Jobcentre Plus,Adviser C,Sustained (26 weeks),14/05/2025,574
CL0356,12/01/2024,Warehousing & Logistics,Partner organisation,Adviser B,Engaged,,955
CL0357,01/05/2024,Education,Jobcentre Plus,Adviser D,Placed,18/08/2024,845
CL0358,30/04/2024,Warehousing & Logistics,Jobcentre Plus,Adviser B,Action Plan Agreed,,846
CL0359,16/05/2024,Education,Jobcentre Plus,Adviser C,Job Ready,,830
CL0360,27/04/2025,Construction,Partner organisation,Adviser A,Placed,09/10/2025,484
CL0361,05/01/2025,Hospitality,Re-referral,Adviser A,Engaged,,596
CL0362,01/06/2025,Construction,Self-referral,Adviser B,Action Plan Agreed,,449
CL0363,16/06/2025,Education,Jobcentre Plus,Adviser B,Placed,18/11/2025,434
CL0364,03/04/2024,Education,Partner organisation,Adviser D,Action Plan Agreed,,873
CL0365,01/03/2025,Education,Self-referral,Adviser D,Placed,17/06/2025,541
CL0366,23/01/2024,Customer Service,Jobcentre Plus,Adviser A,Placed,19/07/2024,944
CL0367,15/03/2024,Retail,Jobcentre Plus,Adviser A,Placed,29/04/2024,892
CL0368,11/03/2024,Education,Jobcentre Plus,Adviser D,Action Plan Agreed,,896
CL0369,18/05/2024,Customer Service,Jobcentre Plus,Adviser D,Job Ready,,828
CL0370,21/01/2025,Customer Service,Jobcentre Plus,Adviser B,Placed,20/05/2025,580
CL0371,01/05/2024,Health & Social Care,Re-referral,Adviser D,Placed,27/07/2024,845
CL0372,04/01/2024,Retail,Re-referral,Adviser D,Placed,21/06/2024,963
CL0373,10/03/2025,Customer Service,Partner organisation,Adviser B,Job Ready,,532
CL0374,07/06/2024,Warehousing & Logistics,Jobcentre Plus,Adviser A,Engaged,,808
CL0375,05/03/2025,Retail,Jobcentre Plus,Adviser A,Action Plan Agreed,,537
CL0376,04/02/2024,Education,Self-referral,Adviser A,Action Plan Agreed,,932
CL0377,15/02/2024,Customer Service,Jobcentre Plus,Adviser B,Sustained (13 weeks),30/03/2024,921
CL0378,23/05/2024,Warehousing & Logistics,Jobcentre Plus,Adviser C,Placed,12/09/2024,823
CL0379,30/08/2024,Warehousing & Logistics,Partner organisation,Adviser B,Job Ready,,724
CL0380,08/10/2024,Retail,Self-referral,Adviser B,Placed,24/02/2025,685
CL0381,22/05/2025,Retail,Re-referral,Adviser D,Sustained (13 weeks),10/09/2025,459
CL0382,02/03/2025,Customer Service,Jobcentre Plus,Adviser D,Action Plan Agreed,,540
CL0383,29/04/2025,Construction,Partner organisation,Adviser C,Sustained (13 weeks),04/07/2025,482
CL0384,19/04/2025,Retail,Self-referral,Adviser D,Placed,22/06/2025,492
CL0385,01/02/2025,Construction,Jobcentre Plus,Adviser C,Placed,26/06/2025,569
CL0386,14/01/2025,Hospitality,Self-referral,Adviser B,Engaged,,587
CL0387,21/01/2025,Retail,Partner organisation,Adviser B,Sustained (13 weeks),20/07/2025,580
CL0388,10/08/2024,Education,Jobcentre Plus,Adviser C,In Training,,744
CL0389,16/01/2024,Construction,Re-referral,Adviser A,Placed,16/06/2024,951
CL0390,05/09/2024,Construction,Jobcentre Plus,Adviser B,Placed,16/12/2024,718
CL0391,24/01/2025,Education,Self-referral,Adviser C,In Training,,577
CL0392,03/01/2025,Education,Self-referral,Adviser D,Sustained (13 weeks),24/04/2025,598
CL0393,27/07/2024,Admin & Office,Jobcentre Plus,Adviser A,Placed,21/10/2024,758
CL0394,29/05/2024,Retail,Jobcentre Plus,Adviser D,In Training,,817
CL0395,19/07/2024,Admin & Office,Jobcentre Plus,Adviser B,Job Ready,,766
CL0396,11/12/2024,Warehousing & Logistics,Partner organisation,Adviser D,Sustained (26 weeks),23/06/2025,621
CL0397,17/05/2025,Education,Jobcentre Plus,Adviser C,Action Plan Agreed,,464
CL0398,15/05/2025,Health & Social Care,Re-referral,Adviser A,Placed,03/07/2025,466
CL0399,19/02/2024,Retail,Jobcentre Plus,Adviser B,Engaged,,917
CL0400,03/06/2024,Retail,Jobcentre Plus,Adviser D,In Training,,812
CL0401,09/05/2025,Education,Jobcentre Plus,Adviser D,Engaged,,472
CL0402,08/10/2024,Warehousing & Logistics,Jobcentre Plus,Adviser D,Sustained (13 weeks),22/12/2024,685
CL0403,19/04/2024,Hospitality,Self-referral,Adviser B,Action Plan Agreed,,857
CL0404,23/06/2025,Warehousing & Logistics,Partner organisation,Adviser C,Sustained (13 weeks),12/08/2025,427
CL0405,17/01/2025,Customer Service,Self-referral,Adviser B,Sustained (26 weeks),14/04/2025,584
CL0406,03/11/2024,Hospitality,Partner organisation,Adviser A,Engaged,,659
CL0407,23/01/2025,Customer Service,Self-referral,Adviser A,Placed,06/04/2025,578
CL0408,25/03/2024,Education,Partner organisation,Adviser C,Placed,18/05/2024,882
CL0409,24/06/2025,Retail,Jobcentre Plus,Adviser D,In Training,,426
CL0410,17/03/2024,Warehousing & Logistics,Partner organisation,Adviser A,Action Plan Agreed,,890
CL0411,18/11/2024,Retail,Re-referral,Adviser B,Sustained (13 weeks),29/03/2025,644
CL0412,19/03/2024,Warehousing & Logistics,Jobcentre Plus,Adviser B,Placed,26/07/2024,888
CL0413,05/12/2024,Customer Service,Partner organisation,Adviser B,Sustained (13 weeks),24/01/2025,627
CL0414,27/05/2025,Admin & Office,Jobcentre Plus,Adviser D,Action Plan Agreed,,454
CL0415,18/03/2024,Admin & Office,Self-referral,Adviser D,Sustained (26 weeks),09/07/2024,889
CL0416,31/01/2024,Warehousing & Logistics,Partner organisation,Adviser D,Job Ready,,936
CL0417,30/12/2024,Customer Service,Jobcentre Plus,Adviser D,Engaged,,602
CL0418,29/10/2024,Construction,Partner organisation,Adviser A,In Training,,664
CL0419,24/01/2025,Health & Social Care,Partner organisation,Adviser C,In Training,,577
CL0420,03/04/2024,Retail,Re-referral,Adviser D,In Training,,873
